Symptom_Text,Water_Color,Water_Odor,Disease
"low blood pressure, loss of skin elasticity, dehydration, thirst",Cloudy,Fishy,Cholera
"rapid heart rate, thirst",Pale,Rotten,Cholera
"dehydration, severe watery diarrhea",Clear,None,Cholera
"leg cramps, vomiting, severe watery diarrhea",Cloudy,Rotten,Cholera
"severe watery diarrhea, leg cramps, low blood pressure, vomiting",Clear,Rotten,Cholera
"leg cramps, muscle cramps, vomiting, rapid heart rate",Pale,None,Cholera
"vomiting, dehydration",Clear,None,Cholera
"thirst, muscle cramps, dehydration, leg cramps",Cloudy,Rotten,Cholera
"leg cramps, dehydration, rapid heart rate",Clear,None,Cholera
"thirst, vomiting, rapid heart rate",Clear,None,Cholera
"muscle cramps, vomiting, severe watery diarrhea, rapid heart rate",Cloudy,Rotten,Cholera
"severe watery diarrhea, thirst, rapid heart rate",Cloudy,Fishy,Cholera
"leg cramps, muscle cramps",Cloudy,Fishy,Cholera
"loss of skin elasticity, dehydration, muscle cramps, rapid heart rate",Cloudy,Rotten,Cholera
"dehydration, vomiting",Pale,Fishy,Cholera
"dehydration, low blood pressure, thirst",Pale,None,Cholera
"dehydration, loss of skin elasticity",Pale,None,Cholera
"muscle cramps, thirst, loss of skin elasticity",Cloudy,None,Cholera
"muscle cramps, low blood pressure, rapid heart rate",Clear,Rotten,Cholera
"low blood pressure, dehydration",Cloudy,Fishy,Cholera
"severe watery diarrhea, vomiting, dehydration",Pale,None,Cholera
"low blood pressure, vomiting, rapid heart rate",Clear,None,Cholera
"rapid heart rate, vomiting",Pale,None,Cholera
"muscle cramps, loss of skin elasticity, severe watery diarrhea",Clear,Rotten,Cholera
"rapid heart rate, loss of skin elasticity, severe watery diarrhea, muscle cramps",Pale,None,Cholera
"muscle cramps, rapid heart rate",Cloudy,Fishy,Cholera
"loss of skin elasticity, vomiting",Clear,Rotten,Cholera
"leg cramps, rapid heart rate, thirst",Clear,None,Cholera
"leg cramps, dehydration",Pale,None,Cholera
"loss of skin elasticity, rapid heart rate",Clear,Fishy,Cholera
"dehydration, muscle cramps, thirst",Cloudy,None,Cholera
"leg cramps, dehydration",Cloudy,Rotten,Cholera
"low blood pressure, leg cramps, thirst",Clear,None,Cholera
"dehydration, leg cramps, muscle cramps, rapid heart rate",Clear,None,Cholera
"vomiting, dehydration, leg cramps, severe watery diarrhea",Cloudy,Rotten,Cholera
"rapid heart rate, low blood pressure",Clear,Fishy,Cholera
"vomiting, rapid heart rate",Clear,Fishy,Cholera
"thirst, severe watery diarrhea, rapid heart rate, vomiting",Pale,None,Cholera
"severe watery diarrhea, loss of skin elasticity",Cloudy,None,Cholera
"thirst, rapid heart rate",Clear,Rotten,Cholera
"muscle cramps, low blood pressure, dehydration",Cloudy,Rotten,Cholera
"loss of skin elasticity, muscle cramps, low blood pressure, leg cramps",Cloudy,None,Cholera
"thirst, muscle cramps, low blood pressure, severe watery diarrhea",Cloudy,Fishy,Cholera
"muscle cramps, rapid heart rate, severe watery diarrhea, loss of skin elasticity",Cloudy,None,Cholera
"low blood pressure, loss of skin elasticity, dehydration, thirst",Cloudy,None,Cholera
"rapid heart rate, dehydration, leg cramps",Pale,Fishy,Cholera
"loss of skin elasticity, low blood pressure",Pale,None,Cholera
"low blood pressure, thirst, severe watery diarrhea, leg cramps",Pale,None,Cholera
"thirst, muscle cramps, severe watery diarrhea",Clear,Rotten,Cholera
"muscle cramps, low blood pressure, leg cramps",Cloudy,Fishy,Cholera
"vomiting, muscle cramps",Cloudy,Rotten,Cholera
"thirst, vomiting, severe watery diarrhea, low blood pressure",Pale,Fishy,Cholera
"severe watery diarrhea, thirst, muscle cramps, rapid heart rate",Cloudy,Rotten,Cholera
"low blood pressure, vomiting",Clear,Rotten,Cholera
"severe watery diarrhea, loss of skin elasticity",Pale,None,Cholera
"dehydration, loss of skin elasticity, muscle cramps, vomiting",Pale,Rotten,Cholera
"leg cramps, vomiting, rapid heart rate, low blood pressure",Clear,Fishy,Cholera
"dehydration, low blood pressure",Clear,Rotten,Cholera
"muscle cramps, low blood pressure, thirst",Pale,Rotten,Cholera
"severe watery diarrhea, leg cramps, loss of skin elasticity, rapid heart rate",Pale,None,Cholera
"thirst, dehydration, rapid heart rate",Clear,None,Cholera
"dehydration, severe watery diarrhea, thirst",Cloudy,None,Cholera
"loss of skin elasticity, vomiting, severe watery diarrhea",Cloudy,Rotten,Cholera
"muscle cramps, loss of skin elasticity, dehydration",Pale,Fishy,Cholera
"rapid heart rate, low blood pressure, vomiting, dehydration",Pale,Fishy,Cholera
"severe watery diarrhea, muscle cramps",Clear,Rotten,Cholera
"severe watery diarrhea, dehydration, muscle cramps, low blood pressure",Clear,Fishy,Cholera
"muscle cramps, dehydration, leg cramps",Clear,Rotten,Cholera
"severe watery diarrhea, dehydration",Pale,Rotten,Cholera
"rapid heart rate, severe watery diarrhea",Cloudy,Rotten,Cholera
"vomiting, low blood pressure",Cloudy,None,Cholera
"dehydration, leg cramps, thirst",Pale,Rotten,Cholera
"thirst, muscle cramps, loss of skin elasticity",Pale,None,Cholera
"dehydration, low blood pressure, rapid heart rate",Cloudy,Fishy,Cholera
"thirst, dehydration, rapid heart rate",Cloudy,Rotten,Cholera
"dehydration, leg cramps",Pale,Rotten,Cholera
"dehydration, low blood pressure, muscle cramps",Clear,None,Cholera
"dehydration, muscle cramps, leg cramps",Cloudy,Fishy,Cholera
"vomiting, severe watery diarrhea, loss of skin elasticity",Clear,Fishy,Cholera
"rapid heart rate, severe watery diarrhea, muscle cramps",Clear,Rotten,Cholera
"leg cramps, dehydration",Clear,None,Cholera
"vomiting, low blood pressure",Pale,Fishy,Cholera
"muscle cramps, leg cramps, loss of skin elasticity",Pale,None,Cholera
"severe watery diarrhea, vomiting, loss of skin elasticity",Clear,Fishy,Cholera
"vomiting, severe watery diarrhea",Clear,Fishy,Cholera
"leg cramps, severe watery diarrhea, loss of skin elasticity",Cloudy,Rotten,Cholera
"thirst, dehydration, vomiting",Cloudy,Fishy,Cholera
"loss of skin elasticity, thirst, low blood pressure, dehydration",Pale,None,Cholera
"vomiting, muscle cramps",Cloudy,Fishy,Cholera
"rapid heart rate, dehydration",Clear,None,Cholera
"muscle cramps, vomiting, thirst",Pale,Rotten,Cholera
"vomiting, dehydration",Pale,Fishy,Cholera
"rapid heart rate, muscle cramps, loss of skin elasticity, dehydration",Pale,None,Cholera
"low blood pressure, dehydration",Pale,Rotten,Cholera
"thirst, rapid heart rate, severe watery diarrhea, vomiting",Cloudy,Rotten,Cholera
"muscle cramps, leg cramps",Pale,Rotten,Cholera
"loss of skin elasticity, leg cramps",Clear,None,Cholera
"rapid heart rate, muscle cramps, vomiting",Clear,Fishy,Cholera
"muscle cramps, leg cramps",Cloudy,None,Cholera
"severe watery diarrhea, leg cramps",Pale,None,Cholera
"dehydration, low blood pressure, leg cramps, vomiting",Cloudy,None,Cholera
"loss of skin elasticity, rapid heart rate, thirst",Clear,Fishy,Cholera
"thirst, vomiting",Pale,Rotten,Cholera
"thirst, muscle cramps, vomiting, dehydration",Pale,Rotten,Cholera
"low blood pressure, vomiting, thirst, muscle cramps",Pale,Fishy,Cholera
"loss of skin elasticity, leg cramps, low blood pressure",Pale,None,Cholera
"severe watery diarrhea, muscle cramps, leg cramps",Clear,Rotten,Cholera
"muscle cramps, vomiting, rapid heart rate",Cloudy,None,Cholera
"loss of appetite, fatigue",Yellowish,Foul,Typhoid
"rash, fatigue",Yellowish,None,Typhoid
"fatigue, weakness, diarrhea, headache",Yellowish,None,Typhoid
"rash, prolonged high fever, stomach pain",Brown,Foul,Typhoid
"constipation, headache",Cloudy,None,Typhoid
"weakness, diarrhea",Brown,None,Typhoid
"constipation, diarrhea",Brown,Foul,Typhoid
"loss of appetite, weakness, stomach pain",Cloudy,Sewage,Typhoid
"rash, fatigue",Brown,Foul,Typhoid
"diarrhea, prolonged high fever, fatigue",Brown,Sewage,Typhoid
"prolonged high fever, headache, rash",Yellowish,None,Typhoid
"rash, weakness, constipation, diarrhea",Brown,None,Typhoid
"constipation, stomach pain, weakness, rash",Brown,Sewage,Typhoid
"constipation, rash",Yellowish,None,Typhoid
"weakness, headache, loss of appetite, prolonged high fever",Yellowish,None,Typhoid
"weakness, rash",Cloudy,None,Typhoid
"diarrhea, weakness",Brown,Sewage,Typhoid
"diarrhea, fatigue, headache, rash",Brown,Foul,Typhoid
"diarrhea, weakness, headache",Cloudy,Foul,Typhoid
"stomach pain, headache, weakness, fatigue",Yellowish,Sewage,Typhoid
"stomach pain, prolonged high fever",Brown,Sewage,Typhoid
"loss of appetite, constipation, fatigue, diarrhea",Brown,None,Typhoid
"headache, weakness, prolonged high fever",Yellowish,Foul,Typhoid
"weakness, prolonged high fever, rash",Yellowish,Foul,Typhoid
"prolonged high fever, headache, rash",Cloudy,Sewage,Typhoid
"stomach pain, prolonged high fever, headache",Brown,Sewage,Typhoid
"prolonged high fever, stomach pain, rash, diarrhea",Yellowish,Foul,Typhoid
"diarrhea, loss of appetite",Cloudy,Sewage,Typhoid
"diarrhea, stomach pain, headache, loss of appetite",Yellowish,Foul,Typhoid
"weakness, diarrhea",Cloudy,Sewage,Typhoid
"fatigue, rash, headache",Brown,Sewage,Typhoid
"headache, fatigue",Brown,Sewage,Typhoid
"diarrhea, loss of appetite, rash",Yellowish,None,Typhoid
"rash, prolonged high fever",Cloudy,Sewage,Typhoid
"headache, prolonged high fever, rash, loss of appetite",Yellowish,None,Typhoid
"constipation, stomach pain",Brown,Foul,Typhoid
"diarrhea, weakness, constipation, rash",Brown,Sewage,Typhoid
"prolonged high fever, headache, rash",Cloudy,None,Typhoid
"rash, stomach pain, fatigue, headache",Yellowish,Foul,Typhoid
"loss of appetite, headache",Cloudy,None,Typhoid
"prolonged high fever, rash, constipation",Brown,Sewage,Typhoid
"diarrhea, headache, loss of appetite",Brown,Foul,Typhoid
"loss of appetite, stomach pain, prolonged high fever, fatigue",Yellowish,None,Typhoid
"weakness, diarrhea, prolonged high fever, loss of appetite",Yellowish,Foul,Typhoid
"stomach pain, diarrhea, constipation",Brown,Foul,Typhoid
"headache, stomach pain, prolonged high fever, constipation",Brown,None,Typhoid
"rash, prolonged high fever",Brown,Foul,Typhoid
"constipation, stomach pain, headache, rash",Brown,None,Typhoid
"fatigue, weakness, headache, diarrhea",Brown,Foul,Typhoid
"diarrhea, stomach pain",Cloudy,Sewage,Typhoid
"stomach pain, prolonged high fever",Cloudy,None,Typhoid
"fatigue, rash, diarrhea, loss of appetite",Yellowish,Foul,Typhoid
"diarrhea, prolonged high fever, stomach pain, rash",Cloudy,Sewage,Typhoid
"loss of appetite, fatigue",Yellowish,Sewage,Typhoid
"prolonged high fever, constipation, diarrhea",Brown,Foul,Typhoid
"constipation, diarrhea, headache",Brown,Sewage,Typhoid
"diarrhea, headache, loss of appetite",Brown,None,Typhoid
"rash, constipation, headache, weakness",Cloudy,Sewage,Typhoid
"weakness, loss of appetite, diarrhea, prolonged high fever",Brown,None,Typhoid
"stomach pain, fatigue, prolonged high fever, rash",Brown,Foul,Typhoid
"headache, fatigue, prolonged high fever, constipation",Brown,Foul,Typhoid
"fatigue, weakness, loss of appetite",Cloudy,Foul,Typhoid
"stomach pain, constipation, diarrhea",Yellowish,Sewage,Typhoid
"constipation, headache, loss of appetite, rash",Yellowish,None,Typhoid
"headache, diarrhea, loss of appetite, stomach pain",Brown,Sewage,Typhoid
"weakness, headache",Brown,Foul,Typhoid
"prolonged high fever, fatigue, constipation, stomach pain",Brown,None,Typhoid
"weakness, prolonged high fever, loss of appetite, fatigue",Cloudy,Foul,Typhoid
"prolonged high fever, rash",Cloudy,None,Typhoid
"prolonged high fever, headache, rash, constipation",Brown,Foul,Typhoid
"constipation, prolonged high fever",Cloudy,Foul,Typhoid
"fatigue, stomach pain",Brown,Sewage,Typhoid
"prolonged high fever, headache, fatigue",Yellowish,Sewage,Typhoid
"constipation, prolonged high fever, diarrhea",Brown,None,Typhoid
"stomach pain, prolonged high fever, diarrhea",Cloudy,Foul,Typhoid
"rash, diarrhea",Brown,None,Typhoid
"prolonged high fever, headache, diarrhea, rash",Brown,Foul,Typhoid
"loss of appetite, stomach pain",Cloudy,Sewage,Typhoid
"weakness, loss of appetite",Cloudy,Foul,Typhoid
"constipation, weakness",Yellowish,Sewage,Typhoid
"loss of appetite, constipation, fatigue",Brown,Foul,Typhoid
"fatigue, constipation, weakness, diarrhea",Cloudy,Sewage,Typhoid
"weakness, loss of appetite, rash",Brown,Foul,Typhoid
"rash, constipation, stomach pain, loss of appetite",Cloudy,None,Typhoid
"headache, rash, stomach pain",Brown,None,Typhoid
"rash, headache, fatigue, diarrhea",Cloudy,Sewage,Typhoid
"weakness, rash, loss of appetite, headache",Brown,Foul,Typhoid
"headache, prolonged high fever",Cloudy,None,Typhoid
"constipation, weakness, stomach pain",Brown,None,Typhoid
"constipation, headache, prolonged high fever, stomach pain",Yellowish,None,Typhoid
"weakness, loss of appetite, prolonged high fever, fatigue",Cloudy,Sewage,Typhoid
"constipation, prolonged high fever",Yellowish,Foul,Typhoid
"constipation, stomach pain",Brown,Foul,Typhoid
"weakness, constipation, loss of appetite, rash",Cloudy,Foul,Typhoid
"rash, constipation, headache, stomach pain",Cloudy,Foul,Typhoid
"constipation, diarrhea",Yellowish,None,Typhoid
"headache, constipation, diarrhea",Yellowish,None,Typhoid
"constipation, fatigue, diarrhea, weakness",Brown,Foul,Typhoid
"headache, prolonged high fever, stomach pain",Yellowish,Foul,Typhoid
"headache, loss of appetite",Cloudy,Foul,Typhoid
"headache, diarrhea, prolonged high fever, constipation",Brown,None,Typhoid
"diarrhea, fatigue, prolonged high fever",Yellowish,None,Typhoid
"prolonged high fever, headache, diarrhea, stomach pain",Yellowish,None,Typhoid
"stomach pain, diarrhea",Cloudy,Sewage,Typhoid
"weakness, stomach pain, prolonged high fever",Brown,Sewage,Typhoid
"stomach pain, headache, fatigue, diarrhea",Cloudy,Sewage,Typhoid
"fatigue, loss of appetite",Brown,None,Typhoid
"stomach pain, diarrhea, loss of appetite",Brown,Sewage,Typhoid
"diarrhea, loss of appetite, rash, fatigue",Brown,Foul,Typhoid
"loss of appetite, headache",Yellowish,Foul,Typhoid
"stomach pain, headache, weakness, diarrhea",Brown,Sewage,Typhoid
"stomach pain, diarrhea, weakness, fatigue",Brown,Foul,Typhoid
"fatigue, diarrhea",Brown,Sewage,Typhoid
"rash, diarrhea, fatigue",Yellowish,Sewage,Typhoid
"loss of appetite, rash, fatigue",Cloudy,Foul,Typhoid
"diarrhea, stomach pain, prolonged high fever",Brown,None,Typhoid
"constipation, rash, headache",Cloudy,Sewage,Typhoid
"prolonged high fever, rash, diarrhea",Cloudy,Sewage,Typhoid
"constipation, loss of appetite",Brown,Sewage,Typhoid
"diarrhea, prolonged high fever, constipation, fatigue",Brown,Foul,Typhoid
"loss of appetite, weakness",Cloudy,None,Typhoid
"prolonged high fever, fatigue, headache, diarrhea",Yellowish,Foul,Typhoid
"weakness, stomach pain, prolonged high fever",Brown,Foul,Typhoid
"fatigue, diarrhea",Cloudy,Sewage,Typhoid
"prolonged high fever, constipation",Brown,Foul,Typhoid
"stomach pain, weakness, loss of appetite, fatigue",Yellowish,None,Typhoid
"diarrhea, constipation, loss of appetite, stomach pain",Yellowish,Foul,Typhoid
"headache, diarrhea, rash",Cloudy,Foul,Typhoid
"diarrhea, loss of appetite, headache",Brown,None,Typhoid
"loss of appetite, headache, fatigue, prolonged high fever",Cloudy,Foul,Typhoid
"prolonged high fever, rash, headache, weakness",Brown,Sewage,Typhoid
"diarrhea, fatigue, stomach pain",Cloudy,Sewage,Typhoid
"loss of appetite, constipation",Cloudy,Foul,Typhoid
"fatigue, stomach pain, loss of appetite, diarrhea",Brown,Sewage,Typhoid
"fatigue, weakness, loss of appetite, stomach pain",Cloudy,Sewage,Typhoid
"rash, constipation, headache",Yellowish,Sewage,Typhoid
"prolonged high fever, rash",Cloudy,None,Typhoid
"stomach pain, rash, weakness",Yellowish,None,Typhoid
"loss of appetite, rash",Cloudy,Foul,Typhoid
"loss of appetite, constipation, stomach pain, fatigue",Yellowish,Foul,Typhoid
"stomach pain, prolonged high fever",Brown,Sewage,Typhoid
"prolonged high fever, constipation",Brown,Foul,Typhoid
"weakness, headache, prolonged high fever, stomach pain",Cloudy,None,Typhoid
"stomach pain, constipation, loss of appetite",Cloudy,Foul,Typhoid
"diarrhea, prolonged high fever, fatigue, weakness",Cloudy,None,Typhoid
"diarrhea, loss of appetite, fatigue, constipation",Yellowish,Sewage,Typhoid
"rash, loss of appetite, prolonged high fever, headache",Brown,Foul,Typhoid
"prolonged high fever, fatigue",Cloudy,None,Typhoid
"prolonged high fever, fatigue, loss of appetite, diarrhea",Cloudy,None,Typhoid
"stomach pain, fatigue, headache, weakness",Brown,Sewage,Typhoid
"rash, prolonged high fever",Yellowish,Sewage,Typhoid
"headache, prolonged high fever, constipation",Cloudy,Foul,Typhoid
"rash, stomach pain, weakness, headache",Yellowish,Sewage,Typhoid
"weakness, stomach pain, constipation",Brown,Foul,Typhoid
"prolonged high fever, diarrhea",Yellowish,Sewage,Typhoid
"diarrhea, fatigue",Brown,Sewage,Typhoid
"rash, prolonged high fever, loss of appetite, weakness",Yellowish,None,Typhoid
"constipation, stomach pain, loss of appetite, headache",Brown,Foul,Typhoid
"prolonged high fever, constipation, rash, diarrhea",Cloudy,Foul,Typhoid
"headache, diarrhea",Cloudy,Sewage,Typhoid
"rash, fatigue, constipation",Yellowish,Foul,Typhoid
"prolonged high fever, fatigue, rash",Cloudy,Sewage,Typhoid
"weakness, headache, fatigue",Brown,Foul,Typhoid
"rash, constipation, fatigue, stomach pain",Cloudy,Sewage,Typhoid
"headache, stomach pain",Cloudy,Foul,Typhoid
"constipation, rash, stomach pain",Yellowish,Foul,Typhoid
"weakness, constipation",Brown,None,Typhoid
"headache, weakness, stomach pain, rash",Brown,None,Typhoid
"prolonged high fever, fatigue, constipation",Cloudy,Foul,Typhoid
"rash, weakness",Brown,Foul,Typhoid
"prolonged high fever, headache",Brown,Foul,Typhoid
"headache, fatigue, loss of appetite",Cloudy,Foul,Typhoid
"weakness, loss of appetite, diarrhea",Cloudy,Sewage,Typhoid
